year,CO2,plot,day,replicate,FgTa_Geomean,DON,DONperFg
2018,A,2,7,1,1.098842735,51.8128247,47.1521748
2018,A,2,7,2,0.560052866,15.7372306,28.09954483
2018,A,2,7,3,0.648138762,34.5010977,53.23103592
2018,A,2,7,4,1.107743557,55.2882524,49.91069649
2018,A,2,7,5,0.564288676,45.6930423,80.97458662
2018,A,2,7,6,0.692674246,28.9800046,41.83785491
2018,A,2,7,7,0.541246394,32.5074175,60.06029382
2018,A,4,7,1,0.311329219,18.9651267,60.9166294
2018,A,4,7,2,0.419428147,17.0051851,40.54373845
2018,A,4,7,3,1.338939948,61.8311454,46.17917742
2018,A,4,7,4,0.805536338,29.5587262,36.69446649
2018,A,4,7,5,1.246828746,58.0183309,46.53271837
2018,A,4,7,6,1.525823688,57.0967143,37.4202568
2018,A,4,7,7,0.500600682,52.4073828,104.6889959
2018,A,6,7,1,0.53355794,37.0342525,69.4099922
2018,A,6,7,2,0.953481333,35.3975825,37.12456791
2018,A,6,7,3,0.318107715,8.7774241,27.5926161
2018,A,6,7,4,,4.5232668,
2018,A,6,7,5,0.967546762,50.4460392,52.13808896
2018,A,6,7,6,,2.5132398,
2018,A,6,7,7,0.690879983,30.541279,44.20634516
2018,A,8,7,1,0.93765385,52.8893563,56.40605681
2018,A,8,7,2,0.554281549,28.7180135,51.81123843
2018,A,8,7,3,0.556770672,30.4934252,54.7683754
2018,A,8,7,4,1.619044901,63.4364866,39.18142516
2018,A,8,7,5,0.520947861,25.3358835,48.63420205
2018,A,8,7,6,,2.9720344,
2018,A,8,7,7,1.985017734,51.693018,26.04159
2018,A,2,14,1,1.243484354,30.6996442,24.68840408
2018,A,2,14,2,2.126406743,76.7921819,36.11359028
2018,A,2,14,3,3.41680836,99.8649597,29.22755659
2018,A,2,14,4,1.674772895,54.1648923,32.34163417
2018,A,2,14,5,1.303951178,45.666189,35.02139484
2018,A,2,14,6,2.317901222,102.0490224,44.02647597
2018,A,2,14,7,2.490835566,72.51219,29.11159252
2018,A,4,14,1,2.868153225,67.8063335,23.64111265
2018,A,4,14,2,4.915700902,88.5029446,18.0041354
2018,A,4,14,3,1.486345113,31.4894046,21.18579617
2018,A,4,14,4,2.107885536,53.5166278,25.38877318
2018,A,4,14,5,2.529440164,65.0566315,25.71977485
2018,A,4,14,6,2.415758917,55.6817556,23.04938426
2018,A,4,14,7,5.497600918,86.9347848,15.81322219
2018,A,6,14,1,2.486664246,50.8381901,20.44433229
2018,A,6,14,2,0.767117435,12.5709593,16.38726841
2018,A,6,14,3,2.068036218,50.7875282,24.55833597
2018,A,6,14,4,1.660063321,39.6249007,23.86951159
2018,A,6,14,5,1.376773444,45.343606,32.93468959
2018,A,6,14,6,1.585836429,31.6484584,19.95695002
2018,A,6,14,7,3.427074662,98.3360469,28.69387352
2018,A,8,14,1,1.137140627,42.4950979,37.37013429
2018,A,8,14,2,1.301005204,44.2374595,34.00252308
2018,A,8,14,3,5.016058427,139.1755244,27.74599347
2018,A,8,14,4,2.825502567,70.6221357,24.99453957
2018,A,8,14,5,2.829200062,45.2892337,16.00778763
2018,A,2,21,1,1.159770382,45.2468655,39.01364119
2018,A,4,21,1,2.864479154,41.2939323,14.41586063
2018,A,4,21,2,6.890382102,45.5580876,6.611837618
2018,A,4,21,3,5.723739893,93.8315896,16.39340559
2018,A,4,21,4,5.199055025,42.4183252,8.15885291
2018,A,4,21,5,6.196418268,65.1991602,10.52207217
2018,A,6,21,1,2.181548114,11.8438564,5.429106223
2018,A,6,21,2,3.478727495,36.0605319,10.36601228
2018,E,1,7,1,1.418654938,42.2172703,29.75866023
2018,E,1,7,2,1.78383252,9.1929606,5.153488619
2018,E,1,7,3,0.791541568,13.7284024,17.34388054
2018,E,1,7,4,0.458974327,30.436276,66.31367856
2018,E,1,7,5,1.264794083,60.936382,48.17889551
2018,E,1,7,6,0.812851371,45.7288466,56.25732849
2018,E,1,7,7,1.309584205,50.7785544,38.77456233
2018,E,3,7,1,1.322048151,93.2390971,70.52624902
2018,E,3,7,2,1.382167466,15.9028255,11.50571543
2018,E,3,7,3,0.422718985,29.4340996,69.63041804
2018,E,3,7,4,1.050501699,51.270596,48.80581923
2018,E,3,7,5,1.219230109,53.9841494,44.2772443
2018,E,3,7,6,0.595694746,18.5933127,31.2128197
2018,E,3,7,7,1.157748217,46.0355931,39.76304385
2018,E,5,7,1,0.787849697,39.6613935,50.34131981
2018,E,5,7,2,0.933931531,65.4570201,70.08760057
2018,E,5,7,3,0.551440172,25.8998013,46.96756363
2018,E,5,7,4,1.084392963,32.0874054,29.59020069
2018,E,5,7,5,0.883099122,29.7649452,33.70510113
2018,E,5,7,6,0.759045298,69.8141289,91.97623529
2018,E,5,7,7,0.219840567,11.4197131,51.94543135
2018,E,7,7,1,0.227881452,11.8311184,51.91786466
2018,E,7,7,2,1.51269615,50.6891203,33.5091223
2018,E,7,7,3,0.475035566,28.4649734,59.92177318
2018,E,7,7,4,0.381387579,44.157244,115.7804986
2018,E,7,7,5,0.948196846,59.1151821,62.34484151
2018,E,7,7,6,0.980667443,51.5232918,52.53900512
2018,E,7,7,7,0.373389467,20.4110698,54.66428927
2018,E,1,14,1,2.184556837,69.6454355,31.88080729
2018,E,1,14,2,1.898576068,54.0826112,28.48588063
2018,E,1,14,3,3.091588285,52.2968714,16.91585897
2018,E,1,14,4,4.052209437,57.5453009,14.20096908
2018,E,1,14,5,1.678817055,32.0867168,19.11269411
2018,E,1,14,6,1.105503303,35.402058,32.02347557
2018,E,1,14,7,3.366101337,54.5415261,16.20317412
2018,E,3,14,1,2.847263772,51.478858,18.08011555
2018,E,3,14,2,6.355224241,90.0783342,14.17390335
2018,E,3,14,3,9.383978739,123.3155544,13.1410735
2018,E,3,14,4,2.651802371,52.7988203,19.91054116
2018,E,3,14,5,1.675504128,34.8078442,20.77454997
2018,E,5,14,1,2.485527747,43.1443953,17.35824326
2018,E,5,14,2,1.814634827,38.7848765,21.37337825
2018,E,5,14,3,2.976158012,93.7496528,31.50022694
2018,E,5,14,4,1.119449838,56.0800785,50.09610667
2018,E,5,14,5,3.610497632,64.9013648,17.97573946
2018,E,5,14,6,1.866994492,63.6124097,34.07209285
2018,E,5,14,7,1.442736247,35.176904,24.38207544
2018,E,7,14,1,2.240394005,31.7321165,14.16363212
2018,E,7,14,2,1.792803086,50.929078,28.40751356
2018,E,7,14,3,2.143016667,54.4747373,25.41965171
2018,E,7,14,4,1.149324137,42.934045,37.35590646
2018,E,7,14,5,2.053462592,51.4237991,25.04248155
2018,E,7,14,6,0.730703701,18.2307941,24.94963973
2018,E,7,14,7,1.170862522,37.772372,32.26029642
2018,E,1,21,1,2.836424295,25.7277757,9.070496164
2018,E,1,21,2,5.801804344,60.9215783,10.50045377
2018,E,1,21,3,5.531868149,63.6977892,11.51469765
2018,E,1,21,4,6.098446567,40.3371998,6.614340128
2018,E,3,21,1,3.912241022,50.0649548,12.79700165
2018,E,3,21,2,4.886358823,30.2125475,6.183039069
2018,E,3,21,3,6.860823577,51.1666258,7.457796463
2018,E,3,21,4,1.46000396,26.0140997,17.81782819
2018,E,7,21,1,10.49404696,61.3573732,5.846874276
2018,E,7,21,2,10.20662455,97.5535977,9.557870696
2018,E,7,21,3,5.890747845,48.6273569,8.254869867
2018,E,7,21,4,7.126698127,65.6896126,9.217397941
